make,model,variant,full_name,body_type,price_ex_showroom,fuel_type,transmission,engine_cc,power_bhp,torque_nm,drivetrain,mileage_arai_kmpl,mileage_arai_km_per_kg,claimed_ev_range_km,seating_capacity,boot_space_litres,ground_clearance_mm,airbags,abs,esc,hill_assist,tyre_pressure_monitoring_system,rear_parking_sensors,rear_camera,camera_360,automatic_climate_control,rear_ac_vents,android_auto,apple_carplay,sunroof,ventilated_front_seats,connected_car_features,adas_available,source,source_last_updated
Hyundai,Creta,King Edition Petrol 1.5L Manual Dual Tone,Hyundai Creta King Edition Petrol 1.5L Manual Dual Tone,SUV,1742800,Petrol,Manual,1497,113.0,143.8,FWD,17.4,,,5.0,,190,6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,CarWale,2026-06-19T12:29:07.585194+00:00
Hyundai,Creta,SX Premium Petrol 1.5L CVT Speed Automatic (CVT),Hyundai Creta SX Premium Petrol 1.5L CVT Speed Automatic (CVT),SUV,1778700,Petrol,Automatic (CVT),1497,113.0,143.8,FWD,17.7,,,5.0,,190,6,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,CarWale,2026-06-19T12:29:07.585391+00:00
Hyundai,Creta,SX Premium Diesel 1.5L Turbo Manual,Hyundai Creta SX Premium Diesel 1.5L Turbo Manual,SUV,1792700,Diesel,Manual,1493,114.0,250.0,FWD,21.8,,,5.0,,190,6,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,CarWale,2026-06-19T12:29:07.585589+00:00
Hyundai,Creta,SX Premium Petrol 1.5L CVT Speed Automatic (CVT) Dual Tone,Hyundai Creta SX Premium Petrol 1.5L CVT Speed Automatic (CVT) Dual Tone,SUV,1793700,Petrol,Automatic (CVT),1497,113.0,143.8,FWD,17.7,,,5.0,,190,6,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,CarWale,2026-06-19T12:29:07.585904+00:00
Hyundai,Creta,SX Premium Diesel 1.5L Turbo Manual Dual Tone,Hyundai Creta SX Premium Diesel 1.5L Turbo Manual Dual Tone,SUV,1807700,Diesel,Manual,1493,114.0,250.0,FWD,21.8,,,5.0,,190,6,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,CarWale,2026-06-19T12:29:07.586150+00:00
Hyundai,Creta,King Edition Petrol 1.5L CVT Speed Automatic (CVT),Hyundai Creta King Edition Petrol 1.5L CVT Speed Automatic (CVT),SUV,1868800,Petrol,Automatic (CVT),1497,113.0,143.8,FWD,17.7,,,5.0,,190,6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,CarWale,2026-06-19T12:29:07.586368+00:00
Hyundai,Creta,King Knight Edition Petrol 1.5L CVT Speed Automatic (CVT),Hyundai Creta King Knight Edition Petrol 1.5L CVT Speed Automatic (CVT),SUV,1883300,Petrol,Automatic (CVT),1497,113.0,143.8,FWD,17.7,,,5.0,,190,6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,CarWale,2026-06-19T12:29:07.586575+00:00
Hyundai,Creta,King Edition Diesel 1.5L Turbo Manual,Hyundai Creta King Edition Diesel 1.5L Turbo Manual,SUV,1885800,Diesel,Manual,1493,114.0,250.0,FWD,21.8,,,5.0,,190,6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,CarWale,2026-06-19T12:29:07.586781+00:00
Hyundai,Creta,King Edition Diesel 1.5L Turbo Manual Dual Tone,Hyundai Creta King Edition Diesel 1.5L Turbo Manual Dual Tone,SUV,1900800,Diesel,Manual,1493,114.0,250.0,FWD,21.8,,,5.0,,190,6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,CarWale,2026-06-19T12:29:07.586982+00:00
Hyundai,Creta,King Edition Diesel 1.5L Turbo Automatic (TC),Hyundai Creta King Edition Diesel 1.5L Turbo Automatic (TC),SUV,1977800,Diesel,Automatic (TC),1493,114.0,250.0,FWD,19.1,,,5.0,,190,6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,CarWale,2026-06-19T12:29:07.587184+00:00
