make,model,variant,full_name,model_year,body_type,segment,generation,facelift_status,discontinued,price_ex_showroom,price_on_road,price_city,currency,fuel_type,engine_cc,cylinders,turbocharged,power_bhp,torque_nm,drivetrain,transmission,gearbox_speeds,acceleration_0_100_seconds,top_speed_kmph,mileage_arai_kmpl,mileage_arai_km_per_kg,mileage_real_world_kmpl,fuel_tank_capacity_litres,battery_capacity_kwh,claimed_ev_range_km,charging_time_ac_hours,charging_time_dc_minutes,seating_capacity,boot_space_litres,ground_clearance_mm,length_mm,width_mm,height_mm,wheelbase_mm,kerb_weight_kg,turning_radius_metres,airbags,abs,ebd,esc,traction_control,hill_assist,hill_descent_control,tyre_pressure_monitoring_system,rear_parking_sensors,front_parking_sensors,rear_camera,camera_360,adas_available,adaptive_cruise_control,lane_keep_assist,lane_departure_warning,automatic_emergency_braking,blind_spot_monitoring,crash_test_rating,crash_test_agency,sunroof,panoramic_sunroof,automatic_climate_control,cruise_control,ventilated_front_seats,powered_driver_seat,powered_front_seats,rear_ac_vents,keyless_entry,push_button_start,wireless_charging,infotainment_screen_inches,android_auto,apple_carplay,connected_car_features,standard_warranty_years,standard_warranty_km,service_interval_km,service_interval_months,estimated_annual_service_cost,reliability_score,resale_value_score,service_network_score,source,source_url,source_last_updated,scraped_at,scrape_run_id,field_completeness_score
Hyundai,Creta,SX Premium Petrol 1.5L Manual Dual Tone,Hyundai Creta SX Premium Petrol 1.5L Manual Dual Tone,,SUV,,,,,1649200,,,,Petrol,1497,,,113.0,143.8,,Manual,,,,17.4,,,,,,,,5,,,,,,,,,6,True,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,True,True,,,,,,,,,,CarWale,https://www.carwale.com/hyundai-cars/creta/sx-premium-petrol-15l-manual-dual-tone/,,2026-06-19T12:29:07.584590+00:00,bf67d509-f8dc-4be1-88ba-c369ed5535ba,25.27
Hyundai,Creta,King Edition Petrol 1.5L Manual,Hyundai Creta King Edition Petrol 1.5L Manual,,SUV,,,,,1727800,,,,Petrol,1497,,,113.0,143.8,,Manual,,,,17.4,,,,,,,,5,,,,,,,,,6,True,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,True,True,,,,,,,,,,CarWale,https://www.carwale.com/hyundai-cars/creta/king-edition-petrol-15l-manual/,,2026-06-19T12:29:07.584794+00:00,45dd1def-936b-41b3-a336-decacfee8b36,25.27
Hyundai,Creta,S (O) Diesel 1.5L Turbo Automatic (TC),Hyundai Creta S (O) Diesel 1.5L Turbo Automatic (TC),,SUV,,,,,1729700,,,,Diesel,1493,,,114.0,250.0,,Automatic (TC),,,,19.1,,,,,,,,5,,,,,,,,,6,True,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,True,True,,,,,,,,,,CarWale,https://www.carwale.com/hyundai-cars/creta/s-o-diesel-15l-turbo-automatic-tc/,,2026-06-19T12:29:07.584995+00:00,0ea5280d-8e7e-4ee4-a82d-68d9438cae00,25.27
Hyundai,Creta,King Edition Petrol 1.5L Manual Dual Tone,Hyundai Creta King Edition Petrol 1.5L Manual Dual Tone,,SUV,,,,,1742800,,,,Petrol,1497,,,113.0,143.8,,Manual,,,,17.4,,,,,,,,5,,,,,,,,,6,True,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,True,True,,,,,,,,,,CarWale,https://www.carwale.com/hyundai-cars/creta/king-edition-petrol-15l-manual-dual-tone/,,2026-06-19T12:29:07.585194+00:00,8c330681-b0d9-44de-83b1-f3c657aafa07,25.27
Hyundai,Creta,SX Premium Petrol 1.5L CVT Speed Automatic (CVT),Hyundai Creta SX Premium Petrol 1.5L CVT Speed Automatic (CVT),,SUV,,,,,1778700,,,,Petrol,1497,,,113.0,143.8,,Automatic (CVT),,,,17.7,,,,,,,,5,,,,,,,,,6,True,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,True,True,,,,,,,,,,CarWale,https://www.carwale.com/hyundai-cars/creta/sx-premium-petrol-15l-cvt-speed-automatic-cvt/,,2026-06-19T12:29:07.585391+00:00,462668a6-b85d-4e81-8056-b8235fec2553,25.27
Hyundai,Creta,SX Premium Diesel 1.5L Turbo Manual,Hyundai Creta SX Premium Diesel 1.5L Turbo Manual,,SUV,,,,,1792700,,,,Diesel,1493,,,114.0,250.0,,Manual,,,,21.8,,,,,,,,5,,,,,,,,,6,True,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,True,True,,,,,,,,,,CarWale,https://www.carwale.com/hyundai-cars/creta/sx-premium-diesel-15l-turbo-manual/,,2026-06-19T12:29:07.585589+00:00,6cf49a39-f6d6-46b3-ab26-833abc7d6a98,25.27
Hyundai,Creta,SX Premium Petrol 1.5L CVT Speed Automatic (CVT) Dual Tone,Hyundai Creta SX Premium Petrol 1.5L CVT Speed Automatic (CVT) Dual Tone,,SUV,,,,,1793700,,,,Petrol,1497,,,113.0,143.8,,Automatic (CVT),,,,17.7,,,,,,,,5,,,,,,,,,6,True,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,True,True,,,,,,,,,,CarWale,https://www.carwale.com/hyundai-cars/creta/sx-premium-petrol-15l-cvt-speed-automatic-cvt-dual-tone/,,2026-06-19T12:29:07.585904+00:00,ad82e5e6-94bf-45de-afdc-291d7473bdc2,25.27
Hyundai,Creta,SX Premium Diesel 1.5L Turbo Manual Dual Tone,Hyundai Creta SX Premium Diesel 1.5L Turbo Manual Dual Tone,,SUV,,,,,1807700,,,,Diesel,1493,,,114.0,250.0,,Manual,,,,21.8,,,,,,,,5,,,,,,,,,6,True,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,True,True,,,,,,,,,,CarWale,https://www.carwale.com/hyundai-cars/creta/sx-premium-diesel-15l-turbo-manual-dual-tone/,,2026-06-19T12:29:07.586150+00:00,16042204-a5b6-4b84-ae76-daf6cb2da7b4,25.27
Hyundai,Creta,King Edition Petrol 1.5L CVT Speed Automatic (CVT),Hyundai Creta King Edition Petrol 1.5L CVT Speed Automatic (CVT),,SUV,,,,,1868800,,,,Petrol,1497,,,113.0,143.8,,Automatic (CVT),,,,17.7,,,,,,,,5,,,,,,,,,6,True,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,True,True,,,,,,,,,,CarWale,https://www.carwale.com/hyundai-cars/creta/king-edition-petrol-15l-cvt-speed-automatic-cvt/,,2026-06-19T12:29:07.586368+00:00,03f0ac6d-e699-4a05-b393-246972986fa9,25.27
Hyundai,Creta,King Knight Edition Petrol 1.5L CVT Speed Automatic (CVT),Hyundai Creta King Knight Edition Petrol 1.5L CVT Speed Automatic (CVT),,SUV,,,,,1883300,,,,Petrol,1497,,,113.0,143.8,,Automatic (CVT),,,,17.7,,,,,,,,5,,,,,,,,,6,True,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,True,True,,,,,,,,,,CarWale,https://www.carwale.com/hyundai-cars/creta/king-knight-edition-petrol-15l-cvt-speed-automatic-cvt/,,2026-06-19T12:29:07.586575+00:00,b4d7fe4f-94dc-4c3a-95bc-801a524fe31c,25.27
